artist_id,artwork_id,title,date,domaine,medium,type,picture_path
74,1037,Livre Mundunculum,printemps 1975,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
336 pages, dos cousu, broché, avec un bandeau
Offset",ouvrage,images/1037.jpg
74,1038,"Livre 2 Bilderbücher
(2 livres d'images)",automne 1976,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
Versions des livres publiés par Forlag ed., Reykjavik, 1957
1 : 28 pages impression quadrichromie, découpées, reliure à spirale
2 : 22 feuilles d'acétate colorée et carte blanche découpée dans un classeur à anneaux",ouvrage,images/1038.jpg
74,1039,Livre 2 books,printemps 1976,"Publication, livre, imprimé, Livre",,ouvrage,images/1039.jpg
74,1040,Livre 246 Little Clouds,printemps 1976,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
180 pages, cousu, broché, jaquette
Offset",ouvrage,images/1040.jpg
74,1041,Livre 96 Piccadillies,1977,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
128 pages, 96 planches couleur, dos collé
Offset",ouvrage,images/1041.jpg
74,1042,Livre Trophies,1979,"Publication, livre, imprimé, Livre",,ouvrage,images/1042.jpg
74,1043,"Livre Bücher und Grafik (2 Teil) u.a.m.
(Livres et éditions (2è partie))",septembre 1979 - 1977,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
Livres et éditions de 1971 à 1979 (incluant un supplément à la 1ère partie)
423 pages, broché, dos cousu, jaquette
Offset",ouvrage,images/1043.jpg
74,1044,Livre Kleinere Werke (3 Teil),octobre 1980 -,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
Matériaux publiés et inédits de 1972 à 1980
Environ 240 pages, dos cousu, broché, jaquette
Offset",ouvrage,images/1044.jpg
74,1045,Livre Dogs [et] Bats,1981,"Publication, livre, imprimé, Livre",,ouvrage,images/1045.jpg
74,1046,Livre Kleinere Werke (4 Teil),octobre 1982 - 1977,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
Matériaux publiés et inédits de 1980-81
318 pages, dos cousu, broché, jaquette
Offset couleur",ouvrage,images/1046.jpg
74,1047,Livre Ladenhüter (aus d. Jahren 1965-1983),1983,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
28 pages agrafées
Offset deux couleurs sur papier",ouvrage,images/1047.jpg
74,1048,"Livre 1234 Schnellzeichnungen
((1234 dessins rapides))",août 1987,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
1236 pages, dos cousu, broché
Offset",ouvrage,images/1048.jpg
75,1049,Livre Daniel Spoerri,1963,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
Catalogue, [12 pages] non paginées agrafées, 5 illustrations en noir et blanc
En couverture : ""Les amoureux"", 1962
Offset noir et blanc",ouvrage,images/1049.jpg
75,1050,Périodique Le Petit Colosse de Symi,1967,"Publication, livre, imprimé, Périodique","Publication, livre, imprimé, Périodique
32 pages agrafées
Offset noir et blanc",ouvrage,images/1050.jpg
75,1051,Périodique Le Petit Colosse de Symi,1967,"Publication, livre, imprimé, Périodique","Publication, livre, imprimé, Périodique
32 pages non reliées, en désordre
Offset noir et blanc",ouvrage,images/1051.jpg
76,1052,Meta,1973,"Publication, livre, imprimé","Publication, livre, imprimé
364 pages, format in-4, couverture à rabat, poignée de valise et fermeture métallique, un disque 33 t.1/3 et un dessin original
Peinture sur papier",ouvrage,images/1052.jpg
77,1053,Erre da elle cri et art moderne,1975,"Publication, livre, imprimé",,ouvrage,images/1053.jpg
77,1054,Et l'ignement de la peur,1975,"Publication, livre, imprimé",,ouvrage,images/1054.jpg
78,1055,Petit théâtre,1984 - 2000,"Publication, livre, imprimé","Publication, livre, imprimé
Recueil de 9 sérigraphies de Marie-Thérèse Vacossin et un poème d'Aurelie Nemours
Sérigraphie",ouvrage,images/1055.jpg
79,1056,Tapuscrit Des Réalités Collectives,1957,"Publication, livre, imprimé, Tapuscrit",,ouvrage,images/1056.jpg
79,1057,"Tapuscrit La Salle Hippie, Comparaison 1968",août 1984,"Publication, livre, imprimé, Tapuscrit",,ouvrage,images/1057.jpg
